# =========================================== 
# Initialization time: 2023-01-13T16:30:16Z
# <module>, <HEX ID>, <timestamp>, <sensors>...
# ------------------------------------------- 
08, 554f2d, 2023-01-17T15:21:24Z, 17.13, 16.94, 16.88, 16.94, 16.94, 17.00, 16.75, 14.13
02, 50163d, 2023-01-17T15:21:41Z, 16.94, 17.00, 17.00, 17.13, 17.00, 17.00, 16.81, 14.75
03, 49da2e, 2023-01-17T15:21:48Z, 19.00, 18.69, 18.69, 18.56, 18.56, 18.44, 18.44, 18.63
04, f2f12d, 2023-01-17T15:21:55Z, 19.31, 19.50, 19.50, 19.50, 19.63, 19.69, 20.38, 19.69
05, 5bdc2e, 2023-01-17T15:22:02Z, 18.31, 18.75, 19.38, 19.75, 19.69, 19.31, 18.75, 18.63
06, 66f43c, 2023-01-17T15:22:09Z, 19.56, 19.81, 19.69, 19.75, 19.94, 20.06, 20.31, 20.19
07, 894a2d, 2023-01-17T15:22:16Z, 19.50, 19.19, 18.94, 19.19, 19.31, 19.50, 19.56, 19.56
08, 554f2d, 2023-01-17T15:22:23Z, 17.13, 16.94, 16.88, 16.94, 16.94, 17.00, 16.69, 13.81
02, 50163d, 2023-01-17T15:22:40Z, 16.94, 16.94, 17.00, 17.06, 17.06, 17.00, 16.81, 14.44
03, 49da2e, 2023-01-17T15:22:47Z, 19.00, 18.63, 18.63, 18.56, 18.56, 18.38, 18.44, 18.63
04, f2f12d, 2023-01-17T15:22:54Z, 19.31, 19.50, 19.50, 19.50, 19.63, 19.69, 20.38, 19.69
05, 5bdc2e, 2023-01-17T15:23:01Z, 18.31, 18.75, 19.38, 19.75, 19.69, 19.25, 18.75, 18.63
06, 66f43c, 2023-01-17T15:23:08Z, 19.56, 19.81, 19.69, 19.75, 19.94, 20.06, 20.25, 20.13
07, 894a2d, 2023-01-17T15:23:16Z, 19.56, 19.19, 19.00, 19.19, 19.31, 19.44, 19.56, 19.56
08, 554f2d, 2023-01-17T15:23:23Z, 17.13, 16.94, 16.88, 16.94, 17.00, 17.00, 16.69, 13.44
02, 50163d, 2023-01-17T15:23:40Z, 16.94, 16.94, 17.00, 17.13, 17.06, 17.00, 16.75, 14.13
03, 49da2e, 2023-01-17T15:23:47Z, 18.94, 18.63, 18.63, 18.50, 18.50, 18.38, 18.44, 18.69
04, f2f12d, 2023-01-17T15:23:54Z, 19.31, 19.50, 19.50, 19.50, 19.63, 19.75, 20.44, 19.69
05, 5bdc2e, 2023-01-17T15:24:01Z, 18.31, 18.69, 19.31, 19.75, 19.69, 19.25, 18.75, 18.56
06, 66f43c, 2023-01-17T15:24:08Z, 19.56, 19.75, 19.63, 19.69, 19.88, 20.00, 20.19, 20.13
07, 894a2d, 2023-01-17T15:24:15Z, 19.50, 19.19, 19.00, 19.19, 19.31, 19.44, 19.56, 19.56
08, 554f2d, 2023-01-17T15:24:22Z, 17.13, 16.94, 16.88, 16.94, 17.00, 17.00, 16.63, 13.13
02, 50163d, 2023-01-17T15:24:39Z, 16.94, 16.94, 17.00, 17.13, 17.06, 17.00, 16.75, 13.88
03, 49da2e, 2023-01-17T15:24:46Z, 18.88, 18.56, 18.63, 18.44, 18.50, 18.31, 18.38, 18.63
04, f2f12d, 2023-01-17T15:24:53Z, 19.31, 19.50, 19.50, 19.50, 19.63, 19.75, 20.44, 19.69
05, 5bdc2e, 2023-01-17T15:25:01Z, 18.25, 18.69, 19.31, 19.75, 19.69, 19.31, 18.75, 18.56
06, 66f43c, 2023-01-17T15:25:08Z, 19.56, 19.75, 19.63, 19.69, 19.88, 20.00, 20.25, 20.19
07, 894a2d, 2023-01-17T15:25:15Z, 19.50, 19.19, 19.00, 19.19, 19.38, 19.50, 19.56, 19.63
08, 554f2d, 2023-01-17T15:25:22Z, 17.13, 16.94, 16.88, 16.94, 17.00, 17.00, 16.56, 12.81
02, 50163d, 2023-01-17T15:25:39Z, 16.94, 16.94, 17.00, 17.13, 17.06, 17.00, 16.69, 13.56
03, 49da2e, 2023-01-17T15:25:46Z, 18.81, 18.50, 18.56, 18.44, 18.44, 18.31, 18.38, 18.63
04, f2f12d, 2023-01-17T15:25:53Z, 19.31, 19.50, 19.56, 19.50, 19.63, 19.75, 20.44, 19.69
05, 5bdc2e, 2023-01-17T15:26:00Z, 18.25, 18.69, 19.31, 19.81, 19.69, 19.31, 18.75, 18.56
06, 66f43c, 2023-01-17T15:26:07Z, 19.50, 19.75, 19.56, 19.63, 19.75, 19.81, 20.06, 20.00
07, 894a2d, 2023-01-17T15:26:14Z, 19.50, 19.19, 19.00, 19.19, 19.31, 19.44, 19.56, 19.63
08, 554f2d, 2023-01-17T15:26:21Z, 17.13, 17.00, 16.88, 16.94, 17.00, 17.00, 16.50, 12.44
02, 50163d, 2023-01-17T15:26:38Z, 16.94, 16.94, 17.00, 17.13, 17.06, 17.00, 16.63, 13.25
03, 49da2e, 2023-01-17T15:26:45Z, 18.81, 18.56, 18.56, 18.44, 18.44, 18.31, 18.38, 18.63
04, f2f12d, 2023-01-17T15:26:52Z, 19.31, 19.50, 19.50, 19.50, 19.63, 19.75, 20.44, 19.69
05, 5bdc2e, 2023-01-17T15:27:00Z, 18.25, 18.69, 19.31, 19.81, 19.69, 19.31, 18.75, 18.56
06, 66f43c, 2023-01-17T15:27:07Z, 19.50, 19.75, 19.63, 19.69, 19.75, 19.81, 20.06, 20.06
